,GeoName,Year,gdp
281,South Carolina,2014,183579.7
282,South Dakota,2014,44449.7
283,Tennessee,2014,291661.7
284,Texas,2014,1518613.7
285,Utah,2014,136325.2
286,Vermont,2014,28510.1
287,Virginia,2014,446790.6
288,Washington,2014,426481.6
289,West Virginia,2014,69720.7
290,Wisconsin,2014,282031.2
291,Wyoming,2014,38711.1
292,New England,2014,894930.1
293,Mideast,2014,3057471.0
294,Great Lakes,2014,2334059.9
295,Plains,2014,1103027.9
296,Southeast,2014,3529757.8
297,Southwest,2014,2068424.7
298,Rocky Mountain,2014,574822.4
299,Far West,2014,3181845.2
300,United States,2015,17432170.0
301,Alabama,2015,189428.8
302,Alaska,2015,54015.3
303,Arizona,2015,281935.6
304,Arkansas,2015,112938.9
305,California,2015,2437366.9
306,Colorado,2015,308898.9
307,Connecticut,2015,245304.5
308,Delaware,2015,66527.0
309,District of Columbia,2015,117011.0
310,Florida,2015,842269.4
311,Georgia,2015,484378.4
312,Hawaii,2015,77176.6
313,Idaho,2015,63235.7
314,Illinois,2015,747666.8
315,Indiana,2015,311850.4
316,Iowa,2015,170545.9
317,Kansas,2015,147929.8
318,Kentucky,2015,182487.9
319,Louisiana,2015,230434.0
320,Maine,2015,53879.3
321,Maryland,2015,349146.8
322,Massachusetts,2015,471979.2
323,Michigan,2015,442287.6
324,Minnesota,2015,316863.3
325,Mississippi,2015,100013.6
326,Missouri,2015,276316.7
327,Montana,2015,45042.5
328,Nebraska,2015,110752.9
329,Nevada,2015,134892.2
330,New Hampshire,2015,71419.1
331,New Jersey,2015,535284.5
332,New Mexico,2015,91679.5
333,New York,2015,1372232.4
334,North Carolina,2015,469535.6
335,North Dakota,2015,55067.4
336,Ohio,2015,579943.2
337,Oklahoma,2015,193237.7
338,Oregon,2015,191864.2
339,Pennsylvania,2015,682527.0
340,Rhode Island,2015,52957.8
341,South Carolina,2015,190294.1
342,South Dakota,2015,45371.8
343,Tennessee,2015,302970.2
344,Texas,2015,1595969.5
345,Utah,2015,141602.0
346,Vermont,2015,28876.6
347,Virginia,2015,455830.0
348,Washington,2015,446628.3
349,West Virginia,2015,70332.7
350,Wisconsin,2015,288260.1
351,Wyoming,2015,39899.0
352,New England,2015,924397.5
353,Mideast,2015,3122663.6
354,Great Lakes,2015,2370031.5
355,Plains,2015,1122877.1
356,Southeast,2015,3631524.0
357,Southwest,2015,2162768.2
358,Rocky Mountain,2015,598732.2
359,Far West,2015,3341931.9
360,United States,2016,17730509.0
361,Alabama,2016,191523.4
362,Alaska,2016,53289.0
363,Arizona,2016,291259.6
364,Arkansas,2016,113490.4
365,California,2016,2519133.6
366,Colorado,2016,315793.0
367,Connecticut,2016,245966.1
368,Delaware,2016,62889.0
369,District of Columbia,2016,119420.2
370,Florida,2016,870963.2
371,Georgia,2016,500909.3
372,Hawaii,2016,79093.5
373,Idaho,2016,65643.2
374,Illinois,2016,746370.0
375,Indiana,2016,316545.6
376,Iowa,2016,169488.8
377,Kansas,2016,152511.5
378,Kentucky,2016,183454.9
379,Louisiana,2016,225361.8
380,Maine,2016,55088.1
381,Maryland,2016,359987.5
382,Massachusetts,2016,479184.9
383,Michigan,2016,451025.9
384,Minnesota,2016,321980.0
385,Mississippi,2016,100412.1
386,Missouri,2016,276210.9
387,Montana,2016,44580.7
388,Nebraska,2016,111611.7
389,Nevada,2016,138638.9
390,New Hampshire,2016,73022.7
391,New Jersey,2016,540380.3
392,New Mexico,2016,91713.9
393,New York,2016,1397723.7
394,North Carolina,2016,477523.8
395,North Dakota,2016,51137.3
396,Ohio,2016,585044.7
397,Oklahoma,2016,188063.3
398,Oregon,2016,201059.5
399,Pennsylvania,2016,691316.2
400,Rhode Island,2016,53030.2
401,South Carolina,2016,196477.4
402,South Dakota,2016,45733.6
403,Tennessee,2016,308157.4
404,Texas,2016,1606579.8
405,Utah,2016,147555.5
406,Vermont,2016,29206.3
407,Virginia,2016,460185.0
408,Washington,2016,463974.0
409,West Virginia,2016,69276.4
410,Wisconsin,2016,291320.5
411,Wyoming,2016,38079.7
412,New England,2016,935470.4
413,Mideast,2016,3171702.8
414,Great Lakes,2016,2390340.4
415,Plains,2016,1128865.0
416,Southeast,2016,3699273.1
417,Southwest,2016,2178408.5
418,Rocky Mountain,2016,612042.5
419,Far West,2016,3455461.8
420,United States,2017,18144105.0
421,Alabama,2017,193693.0
422,Alaska,2017,52825.9
423,Arizona,2017,302117.8
424,Arkansas,2017,114950.7
425,California,2017,2628314.6
426,Colorado,2017,328510.2
427,Connecticut,2017,248077.1
428,Delaware,2017,61851.1
429,District of Columbia,2017,120210.9
430,Florida,2017,901903.5
431,Georgia,2017,519452.6
432,Hawaii,2017,81039.5
433,Idaho,2017,68412.2
434,Illinois,2017,752459.2
435,Indiana,2017,322969.3
436,Iowa,2017,168976.5
437,Kansas,2017,154456.6
438,Kentucky,2017,184600.8
439,Louisiana,2017,228819.3
440,Maine,2017,55964.7
441,Maryland,2017,365857.0
442,Massachusetts,2017,490874.1
443,Michigan,2017,457341.5
444,Minnesota,2017,327667.5
445,Mississippi,2017,101071.7
446,Missouri,2017,279264.3
447,Montana,2017,45480.6
448,Nebraska,2017,113754.2
449,Nevada,2017,143590.9
450,New Hampshire,2017,74253.6
451,New Jersey,2017,540656.6
452,New Mexico,2017,91772.3
453,New York,2017,1424905.5
454,North Carolina,2017,489026.6
455,North Dakota,2017,51291.2
456,Ohio,2017,592725.7
457,Oklahoma,2017,188157.2
458,Oregon,2017,209581.3
459,Pennsylvania,2017,695560.8
460,Rhode Island,2017,52727.7
461,South Carolina,2017,202644.5
462,South Dakota,2017,46023.9
463,Tennessee,2017,314849.9
464,Texas,2017,1651329.5
465,Utah,2017,153986.0
466,Vermont,2017,29312.4
467,Virginia,2017,468125.4
468,Washington,2017,489435.0
469,West Virginia,2017,69743.2
470,Wisconsin,2017,294151.7
471,Wyoming,2017,37866.3
472,New England,2017,951181.7
473,Mideast,2017,3209379.8
474,Great Lakes,2017,2419655.8
475,Plains,2017,1141633.1
476,Southeast,2017,3790818.7
477,Southwest,2017,2234576.5
478,Rocky Mountain,2017,634833.8
479,Far West,2017,3605311.7
480,United States,2018,18687786.0
481,Alabama,2018,198053.7
482,Alaska,2018,52928.7
483,Arizona,2018,314016.1
484,Arkansas,2018,116698.8
485,California,2018,2708966.9
486,Colorado,2018,342865.6
487,Connecticut,2018,249043.3
488,Delaware,2018,63162.6
489,District of Columbia,2018,122661.9
490,Florida,2018,936580.3
491,Georgia,2018,538730.8
492,Hawaii,2018,82203.9
493,Idaho,2018,72455.4
494,Illinois,2018,769631.2
495,Indiana,2018,332156.8
496,Iowa,2018,172844.7
497,Kansas,2018,158192.7
498,Kentucky,2018,187507.4
499,Louisiana,2018,235021.9
500,Maine,2018,57302.7
501,Maryland,2018,368810.4
502,Massachusetts,2018,507806.0
503,Michigan,2018,467828.0
504,Minnesota,2018,337215.9
505,Mississippi,2018,102061.7
506,Missouri,2018,284696.3
507,Montana,2018,46627.5
508,Nebraska,2018,115087.9
509,Nevada,2018,149663.0
510,New Hampshire,2018,76165.3
511,New Jersey,2018,549000.8
512,New Mexico,2018,93870.9
513,New York,2018,1467076.8
514,North Carolina,2018,501955.0
515,North Dakota,2018,53472.8
516,Ohio,2018,606141.5
517,Oklahoma,2018,193204.7
518,Oregon,2018,219279.9
519,Pennsylvania,2018,708856.9
520,Rhode Island,2018,53135.5
521,South Carolina,2018,209012.5
522,South Dakota,2018,47287.0
523,Tennessee,2018,323316.8
524,Texas,2018,1715231.0
525,Utah,2018,162574.4
526,Vermont,2018,29565.4
527,Virginia,2018,478835.0
528,Washington,2018,524486.9
529,West Virginia,2018,71858.7
530,Wisconsin,2018,303767.4
531,Wyoming,2018,38696.3
532,New England,2018,972989.6
533,Mideast,2018,3280345.4
534,Great Lakes,2018,2479518.0
535,Plains,2018,1168963.7
536,Southeast,2018,3901739.0
537,Southwest,2018,2317630.1
538,Rocky Mountain,2018,663932.3
539,Far West,2018,3738194.2
540,United States,2019,19091662.0
541,Alabama,2019,200829.4
542,Alaska,2019,53255.2
543,Arizona,2019,323597.6
544,Arkansas,2019,117447.1
545,California,2019,2800505.4
546,Colorado,2019,356280.2
547,Connecticut,2019,251329.8
548,Delaware,2019,64319.3
549,District of Columbia,2019,123929.3
550,Florida,2019,963255.9
551,Georgia,2019,547422.7
552,Hawaii,2019,82471.4
553,Idaho,2019,74937.1
554,Illinois,2019,773135.5
555,Indiana,2019,337636.1
556,Iowa,2019,173515.4
557,Kansas,2019,160059.3
558,Kentucky,2019,190811.5
559,Louisiana,2019,239967.2
560,Maine,2019,58793.3
561,Maryland,2019,374039.3
562,Massachusetts,2019,519961.6
563,Michigan,2019,471648.1
564,Minnesota,2019,341041.4
565,Mississippi,2019,102656.4
566,Missouri,2019,287659.3
567,Montana,2019,47916.3
568,Nebraska,2019,117395.2
569,Nevada,2019,153728.6
570,New Hampshire,2019,77240.3
571,New Jersey,2019,556731.0
572,New Mexico,2019,98765.7
573,New York,2019,1490678.5
574,North Carolina,2019,511539.9
575,North Dakota,2019,53930.2
576,Ohio,2019,615474.4
577,Oklahoma,2019,197900.4
578,Oregon,2019,225336.8
