,State,Year,FIPS_Code,Civilian_Pop,Civilian_Labor_Force,Labor_Force_Pct,Employed_Total,Employed_Pct,Unemployed_Total,Unemployed_Rate,Population,gdp,treatment
233,Minnesota,2013,27.0,4218760.0,2961662.083333333,70.2,2812495.416666666,66.66666666666667,149166.66666666663,5.041666666666666,5413479.0,303222.5,0
234,Minnesota,2014,27.0,4252304.916666667,2979740.833333333,70.07500000000002,2852632.0,67.1,127108.83333333331,4.266666666666667,5451079.0,312084.0,0
235,Minnesota,2015,27.0,4282725.583333333,3005811.333333333,70.18333333333335,2892147.416666666,67.525,113663.91666666669,3.7916666666666665,5482032.0,316863.3,0
236,Minnesota,2016,27.0,4318608.25,3023731.25,70.02499999999999,2906932.833333333,67.30833333333335,116798.41666666669,3.875,5522744.0,321980.0,0
237,Minnesota,2017,27.0,4356933.25,3050457.083333333,70.00833333333334,2945448.666666666,67.60000000000001,105008.41666666669,3.441666666666667,5566230.0,327667.5,0
238,Minnesota,2018,27.0,4392016.166666667,3059180.75,69.65833333333335,2966376.5,67.54166666666667,92804.25,3.025,5606249.0,337215.9,0
239,Minnesota,2019,27.0,4424057.5,3093020.583333333,69.91666666666667,2995726.833333333,67.71666666666665,97293.75,3.1333333333333337,5639632.0,341041.4,0
240,Mississippi,2010,28.0,2228132.166666666,1308750.083333333,58.74166666666667,1176978.166666667,52.83333333333334,131771.91666666663,10.083333333333334,2970548.0,100043.3,0
241,Mississippi,2011,28.0,2245128.083333333,1346145.666666667,59.95833333333332,1214611.166666667,54.10833333333334,131534.5,9.775,2978731.0,98765.3,0
242,Mississippi,2012,28.0,2254011.25,1330565.916666667,59.03333333333333,1213118.833333333,53.83333333333334,117447.08333333331,8.825,2983816.0,99616.3,0
243,Mississippi,2013,28.0,2264122.583333333,1273606.416666667,56.27500000000001,1165487.5,51.475,108118.91666666669,8.491666666666667,2988711.0,99456.4,0
244,Mississippi,2014,28.0,2272488.75,1243839.833333333,54.725000000000016,1149332.5,50.575,94507.33333333331,7.591666666666668,2990468.0,99501.2,0
245,Mississippi,2015,28.0,2278953.333333333,1259919.583333333,55.28333333333334,1178250.416666667,51.70833333333334,81669.16666666669,6.4833333333333325,2988471.0,100013.6,0
246,Mississippi,2016,28.0,2285176.416666666,1272080.833333333,55.66666666666668,1196124.5,52.35833333333334,75956.33333333331,5.966666666666666,2987938.0,100412.1,0
247,Mississippi,2017,28.0,2289991.416666666,1273869.083333333,55.61666666666667,1207335.666666667,52.71666666666668,66533.41666666669,5.216666666666667,2988510.0,101071.7,0
248,Mississippi,2018,28.0,2286735.0,1269926.916666667,55.53333333333333,1206922.166666667,52.77500000000001,63004.75,4.941666666666666,2981020.0,102061.7,0
249,Mississippi,2019,28.0,2287341.5,1280407.083333333,55.98333333333335,1209555.666666667,52.88333333333333,70851.41666666669,5.5166666666666675,2976149.0,102656.4,0
250,Missouri,2010,29.0,4629450.25,3042979.75,65.72500000000001,2754011.583333333,59.49166666666667,288968.16666666674,9.508333333333336,5995974.0,269057.9,0
251,Missouri,2011,29.0,4648959.0,3032563.166666666,65.23333333333333,2770296.75,59.58333333333334,262266.41666666674,8.641666666666667,6010275.0,266254.6,0
252,Missouri,2012,29.0,4670470.75,3005066.916666666,64.33333333333331,2789233.0,59.70833333333332,215833.91666666663,7.191666666666667,6024367.0,268861.9,0
253,Missouri,2013,29.0,4690655.583333333,3012429.083333333,64.21666666666668,2808030.333333333,59.85833333333332,204398.75,6.774999999999999,6040715.0,271475.9,0
254,Missouri,2014,29.0,4713011.0,3035420.0,64.40833333333333,2848543.416666666,60.41666666666666,186876.5833333333,6.15,6056202.0,272786.8,0
255,Missouri,2015,29.0,4735157.5,3057900.916666666,64.575,2901888.916666666,61.29166666666666,156012.0,5.108333333333333,6071732.0,276316.7,0
256,Missouri,2016,29.0,4755611.666666667,3072730.583333333,64.61666666666666,2933058.083333333,61.675,139672.5,4.55,6087135.0,276210.9,0
257,Missouri,2017,29.0,4777053.25,3057283.75,64.0,2942114.5,61.6,115169.25,3.766666666666667,6106670.0,279264.3,0
258,Missouri,2018,29.0,4793609.166666667,3051202.75,63.65000000000001,2952877.833333333,61.59166666666668,98324.91666666669,3.2166666666666672,6121623.0,284696.3,0
259,Missouri,2019,29.0,4814503.333333333,3078588.166666666,63.94166666666667,2977976.916666666,61.85833333333333,100611.25,3.275,6137428.0,287659.3,0
260,Montana,2010,30.0,777255.1666666665,500857.33333333326,64.45,464850.83333333326,59.825,36006.5,7.183333333333333,990697.0,40595.1,0
261,Montana,2011,30.0,784510.75,501026.91666666674,63.85833333333333,467780.66666666674,59.61666666666667,33246.25,6.625,997316.0,41511.3,0
262,Montana,2012,30.0,791191.75,506625.41666666674,64.03333333333335,477218.08333333326,60.31666666666666,29407.33333333333,5.8,1003783.0,42041.6,0
263,Montana,2013,30.0,799349.6666666665,511164.0,63.94999999999999,483868.83333333326,60.51666666666667,27295.16666666667,5.341666666666666,1013569.0,42429.7,0
264,Montana,2014,30.0,806980.9166666665,512844.58333333326,63.55,488949.16666666674,60.600000000000016,23895.41666666667,4.666666666666667,1021869.0,43285.1,0
265,Montana,2015,30.0,814805.4166666665,517781.66666666674,63.55833333333334,495626.33333333326,60.82499999999999,22155.33333333333,4.291666666666665,1030475.0,45042.5,0
266,Montana,2016,30.0,824041.8333333335,521800.66666666674,63.325,499299.41666666674,60.6,22501.25,4.325,1040859.0,44580.7,0
267,Montana,2017,30.0,834305.0833333335,525393.25,62.975,503862.83333333326,60.39166666666667,21530.416666666668,4.108333333333333,1052482.0,45480.6,0
268,Montana,2018,30.0,842893.3333333335,529725.0833333335,62.84166666666666,509738.91666666674,60.46666666666667,19986.166666666668,3.7750000000000012,1060665.0,46627.5,0
269,Montana,2019,30.0,851622.3333333335,537215.0,63.08333333333332,517875.16666666674,60.8,19339.83333333333,3.6083333333333343,1068778.0,47916.3,0
270,Nebraska,2010,31.0,1386390.083333333,992015.1666666665,71.55833333333331,945262.3333333335,68.18333333333334,46752.83333333334,4.7,1829542.0,97830.1,1
271,Nebraska,2011,31.0,1399913.916666667,1003443.6666666665,71.66666666666666,959233.1666666665,68.51666666666667,44210.5,4.4,1840672.0,102685.1,1
272,Nebraska,2012,31.0,1410901.166666667,1012943.5,71.80833333333331,973500.3333333335,69.00833333333335,39443.16666666666,3.883333333333333,1853303.0,102605.3,1
273,Nebraska,2013,31.0,1420827.916666667,1015185.0,71.45,977855.8333333335,68.825,37329.16666666666,3.675,1865279.0,103974.8,1
