,State,Year,FIPS_Code,Civilian_Pop,Civilian_Labor_Force,Labor_Force_Pct,Employed_Total,Employed_Pct,Unemployed_Total,Unemployed_Rate
21,Alaska,2019,2.0,546241.0,353869.5,64.77499999999999,334807.6666666667,61.291666666666664,19061.833333333332,5.391666666666666
22,Alaska,2020,2.0,545509.5833333334,347396.25,63.69166666666667,320078.75,58.66666666666668,27317.5,7.883333333333334
23,Alaska,2021,2.0,544894.0,354957.0,65.1,331374.0,60.8,23583.0,6.6
24,Arizona,2010,4.0,4896820.333333333,3096203.1666666665,63.23333333333333,2777583.5833333335,56.724999999999994,318619.5833333333,10.299999999999999
25,Arizona,2011,4.0,4926325.25,3051762.5833333335,61.96666666666667,2763680.3333333335,56.09166666666667,288082.25,9.433333333333332
26,Arizona,2012,4.0,5006637.5,3054799.0,61.01666666666666,2799914.75,55.92499999999998,254884.25,8.349999999999998
27,Arizona,2013,4.0,5085867.5,3064990.0833333335,60.26666666666667,2825940.5,55.558333333333344,239049.58333333334,7.816666666666666
28,Arizona,2014,4.0,5178007.75,3118415.5,60.225,2906136.0,56.116666666666674,212279.5,6.791666666666668
29,Arizona,2015,4.0,5276145.333333333,3185086.6666666665,60.35833333333332,2991341.0,56.691666666666656,193745.66666666666,6.074999999999999
30,Arizona,2016,4.0,5384441.5,3253953.6666666665,60.408333333333324,3075608.0833333335,57.12500000000001,178345.58333333334,5.483333333333333
31,Arizona,2017,4.0,5490864.416666667,3329352.4166666665,60.64166666666667,3164468.5,57.616666666666674,164883.91666666666,4.958333333333332
32,Arizona,2018,4.0,5603814.166666667,3428007.8333333335,61.15,3262880.1666666665,58.225,165127.66666666666,4.8166666666666655
33,Arizona,2019,4.0,5727527.0,3538631.6666666665,61.775,3366723.5,58.775,171908.16666666666,4.858333333333333
34,Arizona,2020,4.0,5860478.5,3570033.0,60.933333333333316,3287657.0833333335,56.1,282375.9166666667,7.908333333333332
35,Arizona,2021,4.0,5932506.0,3570652.0,60.2,3331280.0,56.2,239372.0,6.7
36,Arkansas,2010,5.0,2232732.1666666665,1353829.0,60.64166666666666,1247317.5,55.85833333333334,106511.5,7.858333333333334
37,Arkansas,2011,5.0,2254423.0833333335,1357541.4166666667,60.224999999999994,1250285.5833333333,55.46666666666666,107255.83333333333,7.908333333333334
38,Arkansas,2012,5.0,2266989.9166666665,1350276.6666666667,59.550000000000004,1252173.4166666667,55.25,98103.25,7.266666666666667
39,Arkansas,2013,5.0,2276881.6666666665,1331775.5,58.491666666666674,1237985.5833333333,54.366666666666674,93789.91666666667,7.041666666666668
40,Arkansas,2014,5.0,2287194.8333333335,1327892.9166666667,58.058333333333344,1249645.8333333333,54.64166666666667,78247.08333333333,5.8999999999999995
41,Arkansas,2015,5.0,2299074.0833333335,1339408.25,58.25833333333335,1273048.6666666667,55.383333333333326,66359.58333333333,4.949999999999999
42,Arkansas,2016,5.0,2312068.25,1344030.9166666667,58.125,1290424.5833333333,55.82500000000001,53606.333333333336,3.9833333333333325
43,Arkansas,2017,5.0,2324289.9166666665,1350010.75,58.083333333333336,1299503.5,55.916666666666664,50507.25,3.7416666666666654
44,Arkansas,2018,5.0,2334639.6666666665,1352720.5,57.949999999999996,1303276.5,55.81666666666667,49444.0,3.666666666666668
45,Arkansas,2019,5.0,2345716.25,1365119.0,58.19166666666666,1317100.5833333333,56.15833333333333,48018.416666666664,3.5083333333333333
46,Arkansas,2020,5.0,2358484.4166666665,1354332.75,57.43333333333333,1272210.3333333333,53.95000000000001,82122.41666666667,6.083333333333333
